top - 22:25:01 up 1 day, 10 min,  2 users,  load average: 0.37, 0.40, 0.42
Tasks: 465 total,   1 running, 436 sleeping,  28 stopped,   0 zombie
%Cpu(s):  8.7 us,  2.9 sy,  0.0 ni, 85.5 id,  0.0 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    174.3 free,   6884.8 used,    820.1 buff/cache
MiB Swap:   2048.0 total,    545.7 free,   1502.3 used.    494.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1980 karthik   20   0  340636  13680  11916 S   0.0   0.2   0:00.50 gsd-wac+
   1985 karthik   20   0  313984   5604   5332 S   0.0   0.1   0:00.04 gsd-wwan
   1989 karthik   20   0  341900  15228  12792 S   0.0   0.2   0:00.74 gsd-xse+
   2012 karthik   20   0  182764   6932   6908 S   0.0   0.1   0:00.06 python3
   2014 karthik   20   0  231792   6280   4944 S   0.0   0.1   0:00.05 gsd-dis+
   2020 karthik   20   0  776392  15076  12856 S   0.0   0.2   0:00.70 evoluti+
   2061 karthik   20   0  342152   8936   8492 S   0.0   0.1   0:00.03 gsd-pri+
   2113 karthik   20   0  314100   6576   5560 S   0.0   0.1   0:00.19 gvfsd-t+
   2146 karthik   20   0  746912  10344   8960 S   0.0   0.1   0:00.21 evoluti+
   2334 root       0 -20       0      0      0 S   0.0   0.0   0:00.08 loop30
   2356 karthik   20   0 1677364 122360  23976 S   0.0   1.5   2:22.10 nautilus
   2424 root      20   0 1452044  18256   6276 S   0.0   0.2   0:20.46 snapd
   2868 karthik   20   0 1302528  44904  21652 S   0.0   0.6   0:10.85 gnome-s+
   2870 karthik   20   0  417776  20500  16324 S   0.0   0.3   0:01.56 update-+
   4638 karthik   20   0  387832   6456   5844 S   0.0   0.1   0:00.06 gvfsd-n+
   4653 karthik   20   0  314964   5920   5696 S   0.0   0.1   0:00.85 gvfsd-d+
   4756 karthik   20   0 1048924  16444  13868 S   0.0   0.2   0:00.89 gnome-c+
   4760 karthik   20   0  464204  15144  13672 S   0.0   0.2   0:01.63 seahorse
  10113 karthik   20   0 3341296 334488  60520 S   0.0   4.1   3:13.46 Web Con+
  10164 karthik   20   0 2417272  60668  35084 S   0.0   0.8   0:14.10 Privile+
  10194 karthik   20   0 2907324 287360  35068 S   0.0   3.6   1:26.97 WebExte+
  12136 karthik   20   0 3041224 309256  54244 S   0.0   3.8   6:47.39 Web Con+
  12336 karthik   20   0 2609596 151848  43312 S   0.0   1.9   0:55.22 Web Con+
  12604 karthik   20   0 2633348 209332  65660 S   0.0   2.6   1:36.42 Web Con+
  13636 karthik   20   0 3136188 286008  74476 S   0.0   3.5   3:31.98 Web Con+
  13674 karthik   20   0 2859236 138360  39992 S   0.0   1.7   1:25.85 Web Con+
  14100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14221 root      20   0   28556   4376   3704 S   0.0   0.1   0:00.04 cupsd
  14222 root      20   0  180424   8168   6820 S   0.0   0.1   0:01.00 cups-br+
  26795 karthik   20   0 1177240 292664  55928 S   0.0   3.6   5:18.02 chrome
  26804 karthik   20   0    8220    512    444 S   0.0   0.0   0:00.00 cat
  26805 karthik   20   0    8220    508    440 S   0.0   0.0   0:00.00 cat
  26808 karthik   20   0  270928  20860   9752 S   0.0   0.3   0:00.08 chrome
  26809 karthik   20   0  270928  21004   9880 S   0.0   0.3   0:00.09 chrome
  26814 karthik   20   0   10776   3032   2460 S   0.0   0.0   0:00.00 nacl_he+
  26817 karthik   20   0  270928  13768   2632 S   0.0   0.2   0:00.69 chrome
  26825 karthik   20   0   10776   2188   1736 S   0.0   0.0   0:00.00 nacl_he+
  26847 karthik   20   0  676396 257312  40688 S   0.0   3.2   4:10.45 chrome
  26849 karthik   20   0  355720  55668  23860 S   0.0   0.7   1:27.01 chrome
  26865 karthik   20   0  333892  23448   6172 S   0.0   0.3   0:00.01 chrome
  26915 karthik   20   0 4592940  32836  11740 S   0.0   0.4   0:01.80 chrome
  26928 karthik   20   0 4708804 168660  34176 S   0.0   2.1   0:26.93 chrome
  26929 karthik   20   0 4588836  31156  13988 S   0.0   0.4   0:57.29 chrome
  26950 karthik   20   0 4598052  49408  23832 S   0.0   0.6   0:06.96 chrome
  27122 karthik   20   0 9018484 169860  53976 S   0.0   2.1   0:42.08 chrome
  27285 karthik   20   0 4640684  48772  12504 S   0.0   0.6   0:05.96 chrome
  27300 karthik   20   0 4605424  36996  10920 S   0.0   0.5   0:00.55 chrome
  27342 karthik   20   0 4633124  60700  18708 S   0.0   0.8   0:18.59 chrome
  27355 karthik   20   0 4977688 223220  24412 S   0.0   2.8   0:49.86 chrome
  27428 karthik   20   0 4650652  77596  18340 S   0.0   1.0   0:15.30 chrome
  27440 karthik   20   0 4581980  32456  11848 S   0.0   0.4   0:00.63 chrome
  27463 karthik   20   0 4576288  22648   7388 S   0.0   0.3   0:00.23 chrome
  27478 karthik   20   0 4576288  26012  10728 S   0.0   0.3   0:00.23 chrome
  27484 karthik   20   0 4576288  25536  10288 S   0.0   0.3   0:00.23 chrome
  27490 karthik   20   0 4576288  26312  11004 S   0.0   0.3   0:00.22 chrome
  27506 karthik   20   0 4576288  24092   8860 S   0.0   0.3   0:00.22 chrome
  27517 karthik   20   0 4576288  26764  11596 S   0.0   0.3   0:00.22 chrome
  28802 karthik   20   0  161616   3456   3084 S   0.0   0.0   0:00.00 oosplash
  29010 karthik   20   0 4636524  60508  18932 S   0.0   0.7   0:07.99 chrome
  29456 karthik   20   0 4647792  70032  23044 S   0.0   0.9   0:11.29 chrome
  29469 karthik   20   0 4645132  61664  19264 S   0.0   0.8   0:06.81 chrome
  30098 karthik   20   0  970904  40296  22200 S   0.0   0.5   0:34.53 gnome-t+
  30109 karthik   20   0   14688   7696   2236 S   0.0   0.1   0:00.28 bash
